agency,awardeeCity,awardeeName,awardeeStateCode,fundsObligatedAmt,id,publicAccessMandate,date,startDate,title
NSF,LAWTON,Cameron University,OK,1674,7205706,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MONTGOMERY,Alabama State University,AL,4185,7205628,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MANGILAO,University of Guam,GU,13848,7205738,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,SAN ANTONIO,Alamo Community College District Central Office,TX,1674,7205724,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MECHANICSBURG,Messiah College,PA,837,7205713,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,SPOKANE,Whitworth University,WA,1674,7205730,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,PUEBLO,Colorado State University-Pueblo,CO,18836,7205641,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,ELMHURST,Elmhurst University,IL,1674,7205652,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,ROCKY MOUNT,North Carolina Wesleyan College,NC,8408,7205700,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,Blair,Dana College,NE,8691,7205684,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,GOLDEN,Colorado School of Mines,CO,56148,7205639,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MADISON,University of Wisconsin-Madison,WI,19481,7205736,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,HOUSTON,Texas Southern University,TX,18816,7205726,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,SAINT LEO,Saint Leo University,FL,1674,7205646,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,DEKALB,Northern Illinois University,IL,20953,7205655,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,ATLANTA,Morris Brown College,GA,1674,7205649,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,DALLAS,Gaston College,NC,7533,7205699,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,MURFREESBORO,Chowan University,NC,3348,7205698,0,12/03/1971,12/03/1971,1972 Institutional Grants For Science
NSF,BERKELEY,University of California-Berkeley,CA,101300,7204342,0,11/03/1971,12/01/1971,Infrared Astronomy
NSF,AMHERST,SUNY at Buffalo,NY,118925,7104421,0,01/12/1972,12/01/1971,Development of a Socio-Engineering Program
NSF,BETHLEHEM,Lehigh University,PA,115000,7101762,0,12/02/1971,12/01/1971,Defect Chemistry of Silica Surfaces
NSF,Houston,National Association of Corrosion Engineers,TX,2000,7202932,0,12/21/1971,12/01/1971,"International Conference on Localized Corrosion,  WilliamsbuRg, Virginia, December 6-10, 1971"
NSF,Washington,American Society For Cybernetics,DC,3750,7201782,0,11/12/1971,12/01/1971,Conference on the Modeling of Complex Systems in the PursuitOf National Goals
NSF,LOS ANGELES,University of Southern California,CA,1223800,7202714,0,12/03/1971,12/01/1971,Support of the Research Vessel Velero Iv
NSF,Sacramento,Sacramento City College,CA,26700,7201280,0,11/10/1971,12/01/1971,Solar X-Radiation
NSF,HONOLULU,University of Hawaii,HI,2972900,7202717,0,12/08/1971,12/01/1971,Support of Ship Operations
NSF,PITTSBURGH,University of Pittsburgh,PA,129400,7103368,0,11/10/1971,12/01/1971,"Proton Transfer, Hydrogen Bonding and Ion Pairing"
NSF,SANTA BARBARA,University of California-Santa Barbara,CA,223700,7101757,0,11/22/1971,12/01/1971,Mossbauer Studies of Matrix Isolated Atoms
NSF,NEW BRUNSWICK,Rutgers University New Brunswick,NJ,87900,7103359,0,10/21/1971,12/01/1971,Electronic Promotion
NSF,FAIRBANKS,University of Alaska Fairbanks Campus,AK,880300,7202718,0,12/07/1971,12/01/1971,Ship Operations Support
NSF,CHARLOTTESVILLE,University of Virginia Main Campus,VA,80800,7204348,0,12/02/1971,12/01/1971,Development and Use of Magnetic Densimeter- Viscometer
NSF,CLEVELAND,John Carroll University,OH,97400,7101756,0,11/19/1971,12/01/1971,Electron and Phonon Interactions in Metals
NSF,CORVALLIS,Oregon State University,OR,510700,7202715,0,12/08/1971,12/01/1971,Research Vessel Operations
NSF,COLUMBUS,"OHIO STATE UNIVERSITY, THE",OH,315300,7202923,0,12/09/1971,12/01/1971,Liquid 3he-4he Mixtures at Low Temperatures
NSF,PRINCETON,Institute For Advanced Study,NJ,179500,7103806,0,11/26/1971,12/01/1971,Advanced Study on the Processes of Social Change
NSF,Savannah,Skidaway Institute of Oceanography,GA,307700,7202712,0,11/29/1971,12/01/1971,Support of University of Georgia Marine Institute and       Skidaway Institute of Oceanography Research Vessels
NSF,STANFORD,Stanford University,CA,71700,7103341,0,10/13/1971,12/01/1971,Optimization Theory
NSF,AUSTIN,University of Texas at Austin,TX,22900,7102521,0,11/22/1971,12/01/1971,Publication of 'san Lorenzo- Olmec Man and Olmec Land'
NSF,SANTA MONICA,Rand Corporation,CA,267000,7203360,0,01/03/1972,12/01/1971,Cable Tv- Research and Problem Assessment For Franchise     Decision-Making
NSF,MINNEAPOLIS,University of Minnesota-Twin Cities,MN,60000,7101494,0,11/19/1971,12/01/1971,Bioenergetic Mechanisms
NSF,UNIVERSITY PARK,Pennsylvania State Univ University Park,PA,224100,7202925,0,12/02/1971,12/01/1971,Research With the Atom-Probe Field Ion Microscope
NSF,WASHINGTON,National Research Council,DC,5000,7202604,0,12/22/1971,12/01/1971,A Study of Edible Legumes
NSF,LA JOLLA,University of California-San Diego,CA,307800,7202926,0,11/17/1971,12/01/1971,Experiments With Quantum Fluids
NSF,ITHACA,Cornell University,NY,94500,7204349,0,11/24/1971,12/01/1971,Chemistry of Carbon-Fluorine Compounds - Highly Fluorinated Organometallic Compounds As Reaction Intermediates
NSF,CORAL GABLES,University of Miami,FL,7878400,7202716,0,12/03/1971,12/01/1971,Support of Research Vessels
NSF,SALT LAKE CITY,University of Utah,UT,174000,7202924,0,11/29/1971,12/01/1971,Magnetic Resonance Study of Atomic and Molecular Motions
NSF,BERKELEY,University of California-Berkeley,CA,3700,7201766,0,10/14/1971,12/01/1971,Doctoral Dissertation Research- Evolution of Electrical     Behavior in the South American Weakly Electric Fishes       (Gymnotoidei)
NSF,LA JOLLA,University of California-San Diego,CA,164500,7205746,0,12/02/1971,12/01/1971,Ionosphere Investigation From Unmanned Geophysical          Observatories
NSF,NEW YORK,Columbia University,NY,90700,7002165,0,12/02/1971,12/01/1971,Chemistry of Strained Ring Compounds
NSF,COLUMBUS,"OHIO STATE UNIVERSITY, THE",OH,32800,7204344,0,11/09/1971,12/01/1971,Spectrophotometry of Late-Type Stars
NSF,Arlington,Travel Award,VA,812,7204347,0,11/22/1971,11/22/1971,"To Report on New Particle Detector System at 1971 Meeting,  Yerevan, Armenia, Ussr, Novermber 23- December 4, 1971"
NSF,GRAMBLING,Grambling State University,LA,45862,7205860,0,11/18/1971,11/22/1971,Academic Year Institute For Secondary School Tchrs
NSF,,DATA NOT AVAILABLE,,0,7104547,0,11/18/1971,11/18/1971,BOA FOR STUDIES AND CONCEPTUAL DESIGN (C711)
NSF,AUSTIN,University of Texas at Austin,TX,86694,7104418,0,11/17/1971,11/17/1971,Development of a New Interdisciplinary Earth Science Course
NSF,WASHINGTON,National Research Council,DC,49300,7101632,0,12/22/1971,11/15/1971,Task Order For Support of the U.S. National Committees For  The International Astronomical Union and the International  Union of Theoretical and Applied Mechanics
NSF,WASHINGTON,Smithsonian Institution,DC,41100,7203361,0,12/29/1971,11/15/1971,Interdisciplinary Research on a Watershed- Estuarine System Of the Chesapeake Bay
NSF,COLLEGE PARK,"University of Maryland, College Park",MD,108800,7103373,0,11/29/1971,11/15/1971,Collaborative Research on Vibronic Effects in Hydrogen      Bonding
NSF,LARAMIE,University of Wyoming,WY,63000,7201777,0,11/15/1971,11/15/1971,Studies of Aging in 'paramecium'
NSF,PITTSBURGH,Carnegie-Mellon University,PA,90960,7104419,0,11/19/1971,11/15/1971,A Pedagogical Tool For the Teaching of Metallurgy& MaterialsScience
NSF,CORAL GABLES,University of Miami,FL,183800,7100588,0,11/19/1971,11/15/1971,Wave Disturbances in the Tropical Atlantic
NSF,FORT COLLINS,Colorado State University,CO,85400,7102336,0,10/29/1971,11/15/1971,Stochastic Processes in Water Resources
NSF,FORT COLLINS,Colorado State University,CO,334874,7100585,0,11/08/1971,11/15/1971,Use of Satellite Observations in Support of the Science     Objectives of Meteorological Field Programs
NSF,WOODS HOLE,Woods Hole Oceanographic Institution,MA,123800,7203356,0,11/22/1971,11/15/1971,The Study of the Critical Problems of the Coastal Zone
NSF,PHILADELPHIA,University of Pennsylvania,PA,1200,7205190,0,11/29/1971,11/15/1971,Doctoral Dissertation Research in Anthropology
NSF,LOS ANGELES,University of California-Los Angeles,CA,62300,7103372,0,11/09/1971,11/15/1971,Cosmic Ray and Solar Particle Studies
NSF,LOS ANGELES,University of Southern California,CA,119700,7201771,0,11/02/1971,11/15/1971,Biosynthetic and Transfer Reactions
NSF,WASHINGTON,National Research Council,DC,4867,7202603,0,12/02/1971,11/15/1971,"Symposium on Foundations of the Electron Theory of Solids,  Leningrad and Moscow, Ussr, November 29 - December 11, 1971"
NSF,HOUSTON,The University of Texas Health Science Center at Houston,TX,98000,7201774,0,12/02/1971,11/15/1971,"Studies on the Structure, Function, and Assembly of Protein Aggregates in the Tryptophan Pathway"
NSF,SALT LAKE CITY,University of Utah,UT,125000,7100584,0,11/10/1971,11/15/1971,Study of Electrical Properties of Rocks and Ores
NSF,WASHINGTON,Linguistic Society of America,DC,9000,7205203,0,11/01/1971,11/15/1971,"Travel of U.S. Scientists to Attend- the Eleventh InternatioNal Congress of Linguists, Bologna,     Italy, August 28 - SEptember 2, 1972"
NSF,CAMBRIDGE,Massachusetts Institute of Technology,MA,363600,7103364,0,11/01/1971,11/15/1971,Tv-Like System For Direct Telescope Image Photometry
NSF,BERKELEY,University of California-Berkeley,CA,15000,7102347,0,11/10/1971,11/15/1971,Tunneling Devices As Superconducting Computer Elements
NSF,STONY BROOK,SUNY at Stony Brook,NY,169300,7100582,0,11/19/1971,11/15/1971,Solid Flow in the Earth's Mantle
NSF,Falls Church,Exotech Systems Inc,VA,10338,7202632,0,11/02/1971,11/02/1971,Task Order For Processing Fy 1971 Trainee Personal Data     Forms
NSF,PHILADELPHIA,University of Pennsylvania,PA,40000,7101480,0,11/01/1971,11/01/1971,The Nature of Adaptation
NSF,DALLAS,Southern Methodist University,TX,60500,7203351,0,10/27/1971,11/01/1971,Study Group on the Societal Consequences of Weather         Modification
NSF,DALLAS,Southern Methodist University,TX,60500,7203351,0,10/27/1971,11/01/1971,Study Group on the Societal Consequences of Weather         Modification
NSF,MADISON,University of Wisconsin-Madison,WI,888300,7101886,0,12/01/1971,11/01/1971,Occupational Changes in a Generation Ii
NSF,DAVIS,University of California-Davis,CA,137300,7201277,0,10/12/1971,11/01/1971,High Voltage Transmission Electron Microscopy Study of the  Deformation of Rock-Forming Minerals
NSF,Baltimore,Martin Marietta Laboratory,MD,75057,7101687,0,12/08/1971,11/01/1971,Research in Photosynthesis
NSF,BLACKSBURG,Virginia Polytechnic Institute and State University,VA,80800,7100566,0,10/20/1971,11/01/1971,U-Pb Geochronology of the Central and Southern Appalachians And Pb-U-Th Studies of Iron Meteorites
NSF,Arlington,Naval Weapons Center Office of Naval Research,VA,550300,7202588,0,01/21/1972,11/01/1971,Logistic Support to Arctic Field Programs
NSF,LJUBLJANA,University of Ljubljana,,325000,7101721,0,12/22/1971,11/01/1971,The Quality of Electrical Energy
NSF,BALTIMORE,Johns Hopkins University,MD,42900,7103321,0,10/27/1971,11/01/1971,Discrete Series of P-Adic Groups
NSF,LOS ANGELES,University of California-Los Angeles,CA,48000,7103362,0,10/27/1971,11/01/1971,Chemical Compositions of Stars and Gaseous Nebulae
NSF,CORVALLIS,Oregon State University,OR,245788,7203602,0,12/02/1971,11/01/1971,An Experiment in the Transportability of Computer- Based    Curriculum Materials
NSF,BALTIMORE,Johns Hopkins University,MD,70100,7101463,0,10/21/1971,11/01/1971,Electron Transport Systems of the Chemoautotrophic          Nitrifying Bacteria
NSF,COLLEGE STATION,Texas A&M University,TX,192600,7103793,0,10/27/1971,11/01/1971,A Theoretical and Empirical Investigation of Spatial PricingAnd Market Sizes and Shapes
NSF,EVANSTON,Northwestern University,IL,53800,7001465,0,10/05/1971,11/01/1971,Fracture of Brittle Materials Under Impact Loads
NSF,Baltimore,Martin Marietta Laboratory,MD,73284,7101686,0,11/12/1971,11/01/1971,"Contract For a Basic Research Project Entitled 'manganese   Catalyst(S) of Photosynthetic Oxygen, Photoactivation of TheCatalyst'"
NSF,FLUSHING,CUNY Queens College,NY,31700,7103346,0,10/12/1971,11/01/1971,Harmonic Analysis
NSF,LA JOLLA,University of California-San Diego Scripps Inst of Oceanography,CA,59100,7100559,0,10/12/1971,11/01/1971,Studies on the Deep-Sea Benthos
NSF,EVANSTON,Northwestern University,IL,99400,7102318,0,10/13/1971,11/01/1971,Consistency and Error-Estimate in Numerical Analysis of Pre-And Post-Critical Response of Elastic Continua at Finite    Strains
NSF,ATLANTA,Georgia Tech Research Corporation,GA,273100,7203359,0,12/29/1971,11/01/1971,Flammable Fabrics
