grant_number,in_cruz_list
2331458,False
2331874,True
2332102,False
2332232,True
2332263,True
2332592,True
2332964,True
2333261,False
2333262,False
2333270,False
2333494,True
2333737,True
2333740,True
2333790,True
2333959,True
2333985,False
2334059,True
2334206,True
2334272,True
2334298,True
2334340,True
2334679,True
2334832,True
2334951,True
2334952,True
2334953,True
2334954,True
2334955,True
2335206,False
2335225,True
2335235,True
2335236,True
2335532,False
2335901,False
2336484,True
2336572,False
2336806,True
2336815,True
2337293,True
2338556,True
2338735,False
2339462,True
2339619,False
2340108,False
2341036,True
2341434,True
2341629,False
2341739,False
2341740,False
2341831,False
2341996,False
2342099,False
2342438,False
2342547,True
2342624,False
2342625,False
2342626,False
2342627,False
2342766,False
2342767,False
2342768,False
2342769,False
2342770,False
2342771,False
2342772,False
2342842,False
2343111,False
2343112,False
2343113,False
2343235,True
2343236,True
2343292,False
2343306,True
2343858,False
2343966,False
2343972,False
2345110,False
2345121,False
2345129,False
2345739,False
2346166,False
2346653,True
2346845,False
2346905,False
2346906,False
2347034,False
2347076,False
2347101,False
2347112,False
2347276,False
2347281,False
2347360,False
2347361,False
2348326,False
2348374,False
2348705,False
2348836,False
2348945,False
2349282,True
2349503,False
2349605,False
2350008,False
2400502,False
2400839,False
2401036,False
2401278,True
2401545,False
2402141,True
2402390,False
2402441,False
2402468,False
2403517,True
2403844,False
2403845,False
2403846,False
2404263,False
2404264,False
2404708,False
2404719,False
2404781,False
2404966,False
2405120,False
2405217,False
2405431,False
2405633,False
2405747,False
2405868,False
2406787,False
2407056,True
2407374,False
2407375,False
2408749,False
2408912,False
2409521,False
2409522,False
2409523,False
2409524,False
2409905,False
2411129,False
2411524,False
2411594,False
2411595,False
2411632,False
2411640,False
2411641,False
2411642,False
2411643,False
2411644,False
2411678,False
2411679,False
2411737,False
2411738,False
2411739,False
2411771,False
2411772,False
2411773,False
2411774,False
2411775,False
2411776,False
2411882,False
2411883,False
2411884,False
2411933,False
2411934,False
2411935,False
2411936,False
2411946,False
2411953,False
2411987,False
2411988,False
2411999,False
2412719,False
2412776,False
2413236,False
2414042,True
2414497,False
2414502,False
2414503,False
2415333,False
2415398,False
2415399,False
2415563,False
2415575,False
2415667,False
2415767,False
2415812,False
2415840,False
2415857,False
2415882,False
2415883,False
2415904,False
2415965,False
2415989,False
2416484,False
2416516,False
2416517,False
2416518,False
2416656,False
2416708,False
2416797,False
2416816,False
2416817,False
2417006,False
2417148,False
2417387,False
2417559,False
2417604,False
2417666,False
2417749,False
2417751,False
2417752,False
2417753,False
2417765,False
2417787,False
2417796,False
2417813,False
2417821,False
2417833,False
2417878,False
2417879,False
2417884,False
2417948,False
2418043,False
2418051,False
2418349,False
2418858,False
2418859,False
2418921,False
2419014,False
2419037,False
2419365,False
2419500,False
2419970,False
2419971,False
2420069,False
2420344,False
2420364,True
2420601,False
2420678,False
2420721,False
2420868,False
2420981,False
2421373,False
2421409,False
2421410,False
2421459,False
2422009,False
2422010,False
2422305,True
2422551,False
2422606,False
2423019,False
2423277,False
2423785,False
2425735,False
2425826,False
2425934,False
2426219,False
2426487,False
2426567,False
2426669,False
2426690,False
2426971,False
2426972,False
2426973,False
2426981,False
2427386,False
2427457,False
2427641,False
2428058,False
2428059,False
2428232,False
2428802,False
2429009,False
2429010,False
2429070,False
2429071,False
2429247,False
2429337,False
2429338,False
2429498,False
2429624,False
2429717,False
2429961,False
2430370,False
2430996,False
2431606,False
2431915,False
2432870,False
2433238,False
2433239,False
2433253,False
2433352,False
2433830,False
2434604,False
2434748,False
2435089,False
2435115,False
2435273,False
2435274,False
2436273,False
2436663,False
2437340,False
2437382,False
2437479,False
2437775,False
2438411,False
2444087,False
2444914,False
2448445,False
2448939,False
2449906,False
2450246,False
2450295,False
2451885,False
2452030,False
2452096,False
2505222,False
2510215,False
2513528,False
2516400,False
2520318,False
